Chivas	13	Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal
Edradour	13	Edradour ; Edradour ; Edradour Caledonia ; Edradour Caledonia ; Edradour Enigma No.1 ; Edradour Sherry Cask
Glenlivet	13	Glenlivet ; Glenlivet ; Glenlivet XXV ; The Glenlivet ; The Glenlivet ; Glenlivet 1980's
Scottish Leader	13	Scottish Leader ; Scottish Leader ; Scottish Leader ; Scottish Leader ; Scottish Leader ; Scottish Leader
Slyrs	13	Slyrs ; Slyrs ; Slyrs Classic ; Slyrs Fifty-One ; Slyrs Bavarian RYE ; Slyrs Bavarian PEAT
Tullibardine	13	Tullibardine ; Tullibardine ; Tullibardine Sovereign ; Tullibardine The Murray ; Tullibardine Vintage 1991 ; Tullibardine Sherry Finish
& Whisky	13	Umiki ; Kura The ; Lord Moisans ; Lord Moisans ; Scottish Piper ; MacKinlay's Old
Benromach	12	Benromach ; Benromach ; Benromach ; Benromach ; Benromach Organic ; Benromach Heritage
Four Roses	12	Four Roses ; Four Roses ; Four Roses ; Four Roses ; Four Roses ; Four Roses
Highland Queen	12	Highland Queen ; Highland Queen ; Highland Queen ; Highland Queen ; Highland Queen ; Highland Queen
Old & Rare	12	Old & Rare Arran ; Old & Rare Dufftown ; Old & Rare Glenturret ; Old & Rare Bunnahabhain ; Old & Rare Glen Garioch ; Old & Rare Higland Park
Atom	11	Macduff ; Longmorn ; Heaven Hill ; World Blend ; Atom Irish #1 ; Atom Irish #2
Cadenhead	11	Cadenhead Tomatin ; Cadenhead Benriach ; Cadenhead Burnside ; Cadenhead Auchroisk ; Cadenhead Ben Nevis ; Cadenhead's 7 Stars
Deanston	11	Deanston ; Deanston ; Deanston ; Deanston Organic ; Deanston Virgin Oak ; Deanston Vintage 1994
Kilchoman	11	Kilchoman Sanaig ; Kilchoman Loch Gorm ; Kilchoman Machir Bay ; Kilchoman Port Cask Matured ; Kilchoman Islay 14th Edition ; Kilchoman Islay 15th Edition
Old Pulteney	11	Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney ; Old Pulteney Harbor
